Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Міщенко,Прохір,Олександрович,Чоловіча,04.06.1982,Інженер,селище Чистякове,"узвіз Соні Делоне, буд. 5",181 49 37,qkovpak@example.net
Вівчаренко,Леопольд,Олександрович,Чоловіча,17.01.1949,Програміст,місто Борислав,"шосе 14-та ст. Великого Фонтану пляж, буд. 431 кв. 2",036 023-71-78,vitalii31@example.com
Забарна,Віра,Василівна,Жіноча,13.01.2004,Керівник відділу,місто Сватове,"шосе Чорноморський 5-й, буд. 2",+380 93 852 04 33,vasylynavdovenko@example.com
Шелест,Франц,Олександрович,Чоловіча,27.05.2000,Програміст,село Вишгород,"парк Деревообробний 4-й, буд. 16 кв. 85",008 628-36-91,wnalyvaiko@example.com
Юрчук,Юстим,Миколайович,Чоловіча,28.07.1988,Консультант,хутір Підгайці,"набережна Гобеленова, буд. 993",+380 (18) 187-77-12,mgzhytskyi@example.org
Жарко,Варвара,Олександрівна,Жіноча,18.10.1950,Інженер,селище Долинська,"шосе Чорноморський 11-й, буд. 189",+380 (09) 413-03-90,bohodarshamrai@example.com
Голобородько,Гаврило,Григорович,Чоловіча,05.05.1994,Керівник відділу,місто Вугледар,"сквер Ювілейний 1-й, буд. 528",303-17-70,roman01@example.com
Байрак,Пармен,Володимирович,Чоловіча,28.12.1959,Бухгалтер,село Канів,"узвіз Зелена гірка, буд. 841",+380 46 705 28 87,xpetliura@example.org
Зінчук,Дан,Михайлович,Чоловіча,05.03.1993,Керівник відділу,село Куп'янськ,"вулиця 9-та Лінія Дачі Ковалевського, буд. 5",085 682-96-72,gavramenko@example.net
Гаврилів,Надія,Богданівна,Жіноча,14.11.1983,Маркетолог,місто Черкаси,"вулиця Липнева, буд. 96",+380 48 044 84 82,hsamoilenko@example.org
Стельмах,Лесь,Сергійович,Чоловіча,14.04.1959,Інженер,село Білогірськ,"узвіз Чернігівська, буд. 7",520-79-58,teodorudovenko@example.com
Андрійчук,Аарон,Дмитрович,Чоловіча,22.08.1953,Аналітик,селище Гадяч,"сквер Флотська, буд. 65 кв. 45",+380 47 898-91-10,arsenlavrenko@example.org
Дробаха,Дмитро,Ігорович,Чоловіча,08.05.1959,Менеджер,село Покров,"вулиця Кавказька, буд. 4",068 158 19 05,demianiukhryhorii@example.net
Рева,Богуслава,Михайлівна,Жіноча,05.01.1960,Адміністратор,селище Покровськ,"вулиця Ізмаїльська, буд. 0 кв. 21",+380 69 898 93 61,bohuslav60@example.net
Харченко,Пантелеймон,Максимович,Чоловіча,05.03.1995,Бухгалтер,селище Городок,"проспект Весела, буд. 9 кв. 53",128 95 49,gmakarenko@example.org
Саєнко,Дан,Сергійович,Чоловіча,11.04.1980,Інженер,село Рогатин,"набережна Композитора Вербицького, буд. 96 кв. 89",338 10 89,klymentkomar@example.com
Салій,Вікторія,Володимирівна,Жіноча,24.10.1959,Інженер,село Житомир,"вулиця Студентський 3-й, буд. 708",+380 02 077-59-85,okseniiapoltavets@example.net
Затовканюк,Златослава,Богданівна,Жіноча,28.10.1946,Економіст,селище Новий Буг,"узвіз Базарна, буд. 9 кв. 0",003 670 39 41,iarema92@example.org
Дахно,Богуслава,Олександрівна,Жіноча,29.09.1975,Спеціаліст,місто Сколе,"вулиця Бондарна, буд. 96 кв. 329",044 405-55-38,ielysavetaprytula@example.org
Зарудний,Остап,Григорович,Чоловіча,30.12.1975,Керівник відділу,село Боярка,"провулок Докова, буд. 49 кв. 6",+380 44 965-55-62,tymofiiadamchuk@example.net
